@relation CV
@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric
@data
mc2022_track1_133.dimacs,1,5
mc2022_track1_086.dimacs,1,5
mc2022_track1_035.dimacs,1,5
mc2022_track1_146.dimacs,1,5
mc2022_track1_028.dimacs,1,5
mc2022_track1_065.dimacs,1,5
mc2022_track1_077.dimacs,1,5
mc2022_track1_071.dimacs,1,5
mc2022_track1_166.dimacs,1,5
mc2022_track1_152.dimacs,1,5
mc2022_track1_123.dimacs,1,5
mc2022_track1_060.dimacs,1,5
mc2022_track1_088.dimacs,1,6
mc2022_track1_045.dimacs,1,6
mc2022_track1_100.dimacs,1,6
mc2022_track1_139.dimacs,1,6
mc2022_track1_116.dimacs,1,6
mc2022_track1_004.dimacs,1,6
mc2022_track1_199.dimacs,1,6
mc2022_track1_114.dimacs,1,6
mc2022_track1_036.dimacs,1,6
mc2022_track1_130.dimacs,1,6
mc2022_track1_187.dimacs,1,6
mc2022_track1_173.dimacs,1,6
mc2022_track1_017.dimacs,1,6
mc2022_track1_014.dimacs,1,6
mc2022_track1_172.dimacs,1,6
mc2022_track1_078.dimacs,1,6
mc2022_track1_131.dimacs,1,7
mc2022_track1_145.dimacs,1,7
mc2022_track1_029.dimacs,1,7
mc2022_track1_104.dimacs,1,7
mc2022_track1_032.dimacs,1,7
mc2022_track1_125.dimacs,1,7
mc2022_track1_082.dimacs,1,7
mc2022_track1_084.dimacs,1,7
mc2022_track1_069.dimacs,1,7
mc2022_track1_002.dimacs,1,7
mc2022_track1_039.dimacs,1,7
mc2022_track1_185.dimacs,1,7
mc2022_track1_115.dimacs,1,7
mc2022_track1_169.dimacs,1,7
mc2022_track1_076.dimacs,1,7
mc2022_track1_184.dimacs,1,7
mc2022_track1_165.dimacs,1,8
mc2022_track1_067.dimacs,1,8
mc2022_track1_094.dimacs,1,8
mc2022_track1_038.dimacs,1,8
mc2022_track1_106.dimacs,1,8
mc2022_track1_105.dimacs,1,8
mc2022_track1_021.dimacs,1,8
mc2022_track1_112.dimacs,1,8
mc2022_track1_168.dimacs,1,8
mc2022_track1_006.dimacs,1,8
mc2022_track1_093.dimacs,1,8
mc2022_track1_158.dimacs,1,8
mc2022_track1_001.dimacs,1,8
mc2022_track1_031.dimacs,1,8
mc2022_track1_117.dimacs,1,8
mc2022_track1_192.dimacs,1,8
mc2022_track1_026.dimacs,1,9
mc2022_track1_153.dimacs,1,9
mc2022_track1_175.dimacs,1,9
mc2022_track1_019.dimacs,1,9
mc2022_track1_126.dimacs,1,9
mc2022_track1_157.dimacs,1,9
mc2022_track1_176.dimacs,1,9
mc2022_track1_072.dimacs,1,9
mc2022_track1_135.dimacs,1,9
mc2022_track1_194.dimacs,1,9
mc2022_track1_062.dimacs,1,9
mc2022_track1_150.dimacs,1,9
mc2022_track1_113.dimacs,1,9
mc2022_track1_040.dimacs,1,9
mc2022_track1_056.dimacs,1,9
mc2022_track1_154.dimacs,1,9
mc2022_track1_121.dimacs,1,10
mc2022_track1_188.dimacs,1,10
mc2022_track1_109.dimacs,1,10
mc2022_track1_124.dimacs,1,10
mc2022_track1_030.dimacs,1,10
mc2022_track1_193.dimacs,1,10
mc2022_track1_127.dimacs,1,10
mc2022_track1_182.dimacs,1,10
mc2022_track1_073.dimacs,1,10
mc2022_track1_066.dimacs,1,10
mc2022_track1_095.dimacs,1,10
mc2022_track1_012.dimacs,1,10
mc2022_track1_103.dimacs,1,10
mc2022_track1_174.dimacs,1,10
mc2022_track1_033.dimacs,1,10
mc2022_track1_155.dimacs,1,10
